Title,URL,Duration,Date,Views,Likes,Dislikes,Show,Description,Day Of The Week,Days Since Published,Views Per Day,Likes Per Day,Dislikes Per Day,Likes Minus Dislikes,Geoff,Jack,Gavin,Ryan,Ray,Michael,Lindsey,Caleb,Kdin,Matt,Jeremy,Barbara,Brandon,Burnie,Kerry,Dan,Lindsay
Let's Play Minecraft - Episode 160 - Againderman Part 2,https://www.youtube.com/watch?v=qYICo1YMOV8,49.0,2015-06-19,886554,11161,285,Let's Play,The quest to Re-Slay the Enderdragon continues! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http://bit.ly/achieve...,Friday,27,32835.0,413.0,11.0,10876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VS Episode 120: Ryan vs. Jeremy,https://www.youtube.com/watch?v=FDRmOBgJlCE,6.5,2015-06-18,346863,8850,94,VS,"Ryan porcs Jeremy. Then, Jeremy porcs back. Repeat cycle. || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http://bit....",Thursday,28,12388.0,316.0,3.0,8756,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Let's Play - Trivial Pursuit Part 4,https://www.youtube.com/watch?v=od8QXsxsyN0,28.0,2015-06-18,438228,8568,118,Let's Play,Achievement Hunter is back showcasing their vast knowledge of all things trivia! Act surprised by how little that vast knowledge is. || FREE EDGAR: http://bi...,Thursday,28,15651.0,306.0,4.0,8450,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Left 4 Dead 2 with Rahul Kohli,https://www.youtube.com/watch?v=lmV8oCxUvO0,45.0,2015-06-17,401102,6344,162,Let's Play,"Geoff and Michael travel all the way to LA to play Left 4 Dead 2 with iZombie&#39;s Rahul Kohli! Adam Kovic is there too but he&#39;s not very good, loses his footag...",Wednesday,29,13831.0,219.0,6.0,6182,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pick a Lock - GO! #86,https://www.youtube.com/watch?v=kRLiK5bzm9M,7.4,2015-06-16,450919,8801,81,Unknown,This weeks Go is all about thievery! First to pick a lock in a game gets the vault\xe2\x80\x99s prize\xe2\x80\xa6 a sticker! Go! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be...,Tuesday,30,15031.0,293.0,3.0,8720,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play Gmod: Stop It Slender,https://www.youtube.com/watch?v=3ozy9bo107g,24.0,2015-06-16,554333,13005,163,Let's Play,"Geoff, Jack, Ryan, Jeremy, Michael, and Max wander through the woods looking for pages... but one of them is the evil entity known as Slender. Who will be th...",Tuesday,30,18478.0,434.0,5.0,12842,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
Let's Play - GTA V - The Pacific Standard Job Finale,https://www.youtube.com/watch?v=_98tuos-Sx8,33.0,2015-06-15,652812,12075,133,Let's Play,The dramatic conclusion of the Pacific Standard Job! How much of the 1.2 million will the crew escape with? || FREE EDGAR: http://bit.ly/LetsPlayChannel || B...,Monday,31,21058.0,390.0,4.0,11942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I Am Bread Gameplay - The Stream Team (Twitch Highlights),https://www.youtube.com/watch?v=u9L-iM2tExw,9.3,2015-06-14,318559,6214,1202,Let's Play,"The Team that Streams, Jeremy, Matt, and Trevor, are on a quest to roast some bread into toast. Here&#39;s the highlights from their plight. To watch the streams...",Sunday,32,9955.0,194.0,38.0,5012,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Rooster Teeth Podcast Let's Play - Couples Therapy in Contagion,https://www.youtube.com/watch?v=l45h-DsT3j4,30.0,2015-06-14,434889,8786,354,Let's Play,In this special edition of the Podcast Let&#39;s Play -- regular hosts Gavin and Burnie venture into the horrifying world of Contagion with their girlfriends Meg...,Sunday,32,13590.0,275.0,11.0,8432,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Let's Play - Destiny: Prison of Elders,https://www.youtube.com/watch?v=hCS95ybbmkg,23.0,2015-06-13,316600,5806,150,Let's Play,"The Elders demand that Geoff, Ryan, and Jack test their skills against five rounds of enemies in the Prison of Elders. Each species is involved, and even a b...",Saturday,33,9594.0,176.0,5.0,5656,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
